1665302,2025-02-25
1663761,2025-02-24
1667493,2025-02-23
1667493,2025-02-22
1667046,2025-02-21
1668346,2025-02-20
1650524,2025-02-19
1638454,2025-02-18
1629286,2025-02-17
1652663,2025-02-16
1652663,2025-02-15
1652351,2025-02-14
1644453,2025-02-13
1636354,2025-02-12
1636054,2025-02-11
1612289,2025-02-10
1603534,2025-02-09
1603534,2025-02-08
1604097,2025-02-07
1613873,2025-02-06
1606072,2025-02-05
1595044,2025-02-04
1566296,2025-02-03
1551670,2025-02-02
1551670,2025-02-01
1552181,2025-01-31
1551993,2025-01-30
1551384,2025-01-29
1551792,2025-01-28
1551712,2025-01-27
1551375,2025-01-26
1551375,2025-01-25
1551836,2025-01-24
1550752,2025-01-23
1549817,2025-01-22
1534935,2025-01-21
1529741,2025-01-20
1538296,2025-01-19
1538296,2025-01-18
1538789,2025-01-17
1525943,2025-01-16
1512811,2025-01-15
1509699,2025-01-14
1518659,2025-01-13
1506358,2025-01-12
1506358,2025-01-11
1506789,2025-01-10
1499725,2025-01-09
1494738,2025-01-08
1489687,2025-01-07
1495505,2025-01-06
1498119,2025-01-05
1498119,2025-01-04
1498615,2025-01-03
1484737,2025-01-02
1488127,2025-01-01
1488050,2024-12-31
1488491,2024-12-30
1488075,2024-12-29
1488075,2024-12-28
1488511,2024-12-27
1476685,2024-12-26
1476146,2024-12-25
1476586,2024-12-24
1486519,2024-12-23
1474215,2024-12-22
1474215,2024-12-21
1474646,2024-12-20
1463676,2024-12-19
1479629,2024-12-18
1479629,2024-12-17
1476660,2024-12-16
1491087,2024-12-15
1491087,2024-12-14
1491562,2024-12-13
1508511,2024-12-12
1494722,2024-12-11
1478687,2024-12-10
1464711,2024-12-09
1483925,2024-12-08
1483925,2024-12-07
1484337,2024-12-06
1484363,2024-12-05
1475570,2024-12-04
1477532,2024-12-03
1472537,2024-12-02
1474054,2024-12-01
1474054,2024-11-30
1474510,2024-11-29
1478430,2024-11-28
1471524,2024-11-27
1471434,2024-11-26
1495276,2024-11-25
1481381,2024-11-24
1481381,2024-11-23
1481736,2024-11-22
1471623,2024-11-21
1439786,2024-11-20
1453538,2024-11-19
1442515,2024-11-18
1445881,2024-11-17
1445881,2024-11-16
1446379,2024-11-15
1442337,2024-11-14
1462271,2024-11-13
1452378,2024-11-12
1483224,2024-11-11
1489957,2024-11-10
1489957,2024-11-09
1490394,2024-11-08
1477493,2024-11-07
1504320,2024-11-06
1500707,2024-11-05
1500726,2024-11-04
1503271,2024-11-03
1503271,2024-11-02
1503719,2024-11-01
1518503,2024-10-31
1511738,2024-10-30
1486951,2024-10-29
1478835,2024-10-28
1473427,2024-10-27
1473427,2024-10-26
1473757,2024-10-25
1461805,2024-10-24
1467842,2024-10-23
1455836,2024-10-22
1458769,2024-10-21
1455509,2024-10-20
1455509,2024-10-19
1455066,2024-10-18
1448014,2024-10-17
1442908,2024-10-16
1439810,2024-10-15
1440889,2024-10-14
1433063,2024-10-13
1433063,2024-10-12
1432584,2024-10-11
1424822,2024-10-10
1432749,2024-10-09
1432889,2024-10-08
1429635,2024-10-07
1423376,2024-10-06
1423376,2024-10-05
1422963,2024-10-04
1419813,2024-10-03
1414718,2024-10-02
1403756,2024-10-01
1414498,2024-09-30
1412940,2024-09-29
1412940,2024-09-28
1412590,2024-09-27
1411602,2024-09-26
1411600,2024-09-25
1394535,2024-09-24
1406524,2024-09-23
1391905,2024-09-22
1391905,2024-09-21
1391434,2024-09-20
1384317,2024-09-19
1391331,2024-09-18
1394407,2024-09-17
1381513,2024-09-16
1381924,2024-09-15
1381924,2024-09-14
1381459,2024-09-13
1367384,2024-09-12
1369180,2024-09-11
1358255,2024-09-10
1357207,2024-09-09
1371560,2024-09-08
1371560,2024-09-07
1371193,2024-09-06
1368174,2024-09-05
1365176,2024-09-04
1363139,2024-09-03
1360283,2024-09-02
1367652,2024-09-01
1367652,2024-08-31
1367288,2024-08-30
1366257,2024-08-29
1364208,2024-08-28
1369301,2024-08-27
1369246,2024-08-26
1357643,2024-08-25
1357643,2024-08-24
1357318,2024-08-23
1364271,2024-08-22
1369190,2024-08-21
1373308,2024-08-20
1373244,2024-08-19
1361786,2024-08-18
1361786,2024-08-17
1361359,2024-08-16
1369136,2024-08-15
1374038,2024-08-14
1377314,2024-08-13
1359362,2024-08-12
1368624,2024-08-11
1368624,2024-08-10
1368193,2024-08-09
1357162,2024-08-08
1357148,2024-08-07
1366190,2024-08-06
1371185,2024-08-05
1380760,2024-08-04
1380760,2024-08-03
1380552,2024-08-02
1384567,2024-08-01
1368455,2024-07-31
1358349,2024-07-30
1359447,2024-07-29
1335534,2024-07-28
1335534,2024-07-27
1335165,2024-07-26
1349038,2024-07-25
1355419,2024-07-24
1352327,2024-07-23
1352268,2024-07-22
1367671,2024-07-21
1367671,2024-07-20
1367271,2024-07-19
1374550,2024-07-18
1365647,2024-07-17
1351520,2024-07-16
1347393,2024-07-15
1347735,2024-07-14
1347735,2024-07-13
1347257,2024-07-12
1334290,2024-07-11
1328281,2024-07-10
1337212,2024-07-09
